DQ HER, 2458029.324, 14.6, Vis.
DQ HER, 2458018.349, 14.6, Vis.
DQ HER, 2458013.3257, 14.4, Vis.
DQ HER, 2458008.374, 14.7, Vis.
DQ HER, 2458005.376, 14.4, Vis.
DQ HER, 2457996.405, 14.7, Vis.
DQ HER, 2457994.388, 14.6, Vis.
DQ HER, 2457992.408, 14.6, Vis.
DQ HER, 2457989.417, 14.7, Vis.
DQ HER, 2457985.4111, 14.6, Vis.
DQ HER, 2457981.420, 14.6, Vis.
DQ HER, 2457975.463, 14.6, Vis.
DQ HER, 2457971.424, 14.6, Vis.
DQ HER, 2457963.484, 14.7, Vis.
DQ HER, 2457963.4667, 14.4, Vis.
DQ HER, 2457951.465, 14.6, Vis.
DQ HER, 2457939.48, 14.7, Vis.
DQ HER, 2457930.504, 14.7, Vis.
DQ HER, 2457922.501, 14.6, Vis.
DQ HER, 2457908.504, 14.6, Vis.
DQ HER, 2457900.508, 14.7, Vis.
DQ HER, 2457899.508, 14.8, Vis.
DQ HER, 2457898.558, 14.6, Vis.
DQ HER, 2457896.526, 14.7, Vis.
DQ HER, 2457894.518, 14.5, Vis.
DQ HER, 2457880.8882, 14.7, Vis.
DQ HER, 2457879.8799, 14.5, Vis.
DQ HER, 2457868.591, 14.6, Vis.
DQ HER, 2457866.490, 14.4, Vis.
DQ HER, 2457848.543, 14.5, Vis.
DQ HER, 2457846.556, 14.6, Vis.
DQ HER, 2457833.669, 14.6, Vis.
DQ HER, 2457788.628, 14.4, Vis.
DQ HER, 2457750.1715, 14.4, Vis.
DQ HER, 2457721.279, 14.5, Vis.
DQ HER, 2457690.3111, 14.4, Vis.
DQ HER, 2457672.321, 14.6, Vis.
DQ HER, 2457667.318, 14.7, Vis.
DQ HER, 2457664.331, 14.5, Vis.
DQ HER, 2457643.358, 14.6, Vis.
DQ HER, 2457642.3368, 14.4, Vis.
DQ HER, 2457639.412, 14.7, Vis.
DQ HER, 2457630.379, 14.7, Vis.
DQ HER, 2457627.403, 14.6, Vis.
DQ HER, 2457624.417, 14.8, Vis.
DQ HER, 2457617.430, 14.7, Vis.
DQ HER, 2457615.422, 14.7, Vis.
DQ HER, 2457609.433, 14.6, Vis.
DQ HER, 2457606.455, 14.7, Vis.
DQ HER, 2457605.444, 14.7, Vis.
DQ HER, 2457603.4035, 14.4, Vis.
DQ HER, 2457602.4299, 14.4, Vis.
DQ HER, 2457600.44, 14.5, Vis.
DQ HER, 2457599.460, 14.4, Vis.
DQ HER, 2457594.452, 14.6, Vis.
DQ HER, 2457587.467, 14.5, Vis.
DQ HER, 2457575.476, 14.8, Vis.
DQ HER, 2457573.476, 14.3, Vis.
DQ HER, 2457571.474, 14.5, Vis.
DQ HER, 2457546.501, 14.5, Vis.
DQ HER, 2457545.496, 14.6, Vis.
DQ HER, 2457539.479, 14.4, Vis.
DQ HER, 2457532.490, 14.6, Vis.
DQ HER, 2457525.492, 14.6, Vis.
DQ HER, 2457523.467, 14.4, Vis.
DQ HER, 2457513.478, 14.4, Vis.
DQ HER, 2457511.489, 14.6, Vis.
DQ HER, 2457508.548, 14.6, Vis.
DQ HER, 2457506.522, 14.4, Vis.
DQ HER, 2457498.628, 14.4, Vis.
DQ HER, 2457496.533, 14.5, Vis.
DQ HER, 2457495.499, 14.4, Vis.
DQ HER, 2457484.525, 14.7, Vis.
DQ HER, 2457478.516, 14.4, Vis.
DQ HER, 2457364.1882, 14.4, Vis.
DQ HER, 2457357.2222, 14.3, Vis.
DQ HER, 2457338.432, 14.6, Vis.
DQ HER, 2457329.2875, 14.4, Vis.
DQ HER, 2457328.308, 14.4, Vis.
DQ HER, 2457318.297, 14.5, Vis.
DQ HER, 2457308.340, 14.6, Vis.
DQ HER, 2457303.335, 14.4, Vis.
DQ HER, 2457298.318, 14.4, Vis.
DQ HER, 2457298.2938, 14.4, Vis.
DQ HER, 2457296.330, 14.5, Vis.
DQ HER, 2457291.347, 14.6, Vis.
DQ HER, 2457288.359, 14.5, Vis.
DQ HER, 2457284.3444, 14.5, Vis.
DQ HER, 2457278.37, 14.5, Vis.
