DQ HER, 2458030.36057, 14.667, 0.085, V
DQ HER, 2458019.52538, 15.195, 0.019, V
DQ HER, 2458007.59444, 14.667, 0.017, V
DQ HER, 2457991.54903, 16.209, 0.025, V
DQ HER, 2457938.43593, 14.847, 0.089, V
DQ HER, 2457906.4264, 14.815, 0.016, V
DQ HER, 2457906.425613, 14.808, 0.019, V
DQ HER, 2457906.424745, 14.860, 0.018, V
DQ HER, 2457906.423958, 14.863, 0.016, V
DQ HER, 2457906.423171, 14.861, 0.025, V
DQ HER, 2457906.422384, 14.816, 0.017, V
DQ HER, 2457906.421539, 14.837, 0.018, V
DQ HER, 2457906.420556, 14.845, 0.019, V
DQ HER, 2457906.419769, 14.830, 0.021, V
DQ HER, 2457906.418692, 14.842, 0.081, V
DQ HER, 2457906.417905, 14.840, 0.017, V
DQ HER, 2457906.416898, 14.882, 0.017, V
DQ HER, 2457906.416111, 14.803, 0.024, V
DQ HER, 2457906.415324, 14.841, 0.017, V
DQ HER, 2457906.414537, 14.882, 0.017, V
DQ HER, 2457906.413495, 14.944, 0.020, V
DQ HER, 2457906.412697, 14.890, 0.018, V
DQ HER, 2457906.411898, 14.913, 0.019, V
DQ HER, 2457906.410856, 14.908, 0.021, V
DQ HER, 2457906.410069, 14.911, 0.017, V
DQ HER, 2457906.409282, 14.904, 0.018, V
DQ HER, 2457906.408438, 14.844, 0.024, V
DQ HER, 2457906.40765, 14.884, 0.019, V
DQ HER, 2457906.406863, 14.875, 0.017, V
DQ HER, 2457906.406076, 14.882, 0.020, V
DQ HER, 2457906.405289, 14.838, 0.018, V
DQ HER, 2457906.404502, 14.893, 0.021, V
DQ HER, 2457906.403646, 14.876, 0.027, V
DQ HER, 2457906.402859, 14.902, 0.017, V
DQ HER, 2457906.402072, 14.931, 0.020, V
DQ HER, 2457906.401285, 14.943, 0.019, V
DQ HER, 2457906.400486, 14.951, 0.018, V
DQ HER, 2457906.399711, 14.988, 0.019, V
