AM HER, 2457614.49, 15.1, Vis.
AM HER, 2457614.369, 14.6, Vis.
AM HER, 2457613.43, 15.0, Vis.
AM HER, 2457612.465, 14.9, Vis.
AM HER, 2457610.40, 14.9, Vis.
AM HER, 2457609.431, 15.0, Vis.
AM HER, 2457609.349, 14.9, Vis.
AM Her, 2457607.5903, 14.5, Vis.
AM HER, 2457607.360, 15.1, Vis.
AM HER, 2457606.453, 15.4, Vis.
AM HER, 2457606.300, 15.0, Vis.
AM HER, 2457605.442, 15.1, Vis.
AM Her, 2457604.5972, 14.5, Vis.
AM HER, 2457604.44, 15.1, Vis.
AM HER, 2457604.4076, 15.2, Vis.
AM HER, 2457603.4049, 14.9, Vis.
AM HER, 2457602.4313, 14.7, Vis.
AM HER, 2457601.455, 15.4, Vis.
AM HER, 2457600.4431, 15.2, Vis.
AM HER, 2457600.44, 15.5, Vis.
AM HER, 2457600.35, 15.0, Vis.
AM HER, 2457599.459, 15.2, Vis.
AM HER, 2457599.433, 14.8, Vis.
AM HER, 2457597.4285, 15.2, Vis.
AM HER, 2457595.6996, 15.0, Vis.
AM HER, 2457594.451, 15.3, Vis.
AM HER, 2457594.300, 14.7, Vis.
AM HER, 2457593.412, 15.0, Vis.
AM HER, 2457587.465, 14.9, Vis.
AM HER, 2457582.4875, 15.2, Vis.
AM HER, 2457581.4715, 15.2, Vis.
AM HER, 2457580.389, 15.0, Vis.
AM HER, 2457580.300, 15.0, Vis.
AM HER, 2457577.4771, 15.2, Vis.
AM HER, 2457577.470, 15.1, Vis.
AM HER, 2457575.474, 15.2, Vis.
AM HER, 2457574.385, 15.4, Vis.
AM HER, 2457573.474, 14.9, Vis.
AM Her, 2457572.6215, 14.8, Vis.
AM HER, 2457571.472, 14.7, Vis.
AM HER, 2457569.40, 14.9, Vis.
AM HER, 2457568.351, 15.5, Vis.
AM HER, 2457568.300, 15.0, Vis.
AM Her, 2457565.6458, 14.8, Vis.
AM HER, 2457565.41, 14.6, Vis.
AM Her, 2457564.6181, 14.6, Vis.
AM Her, 2457550.6153, 14.6, Vis.
AM Her, 2457549.6215, 14.5, Vis.
AM HER, 2457546.499, 14.9, Vis.
AM HER, 2457545.494, 15.0, Vis.
AM HER, 2457539.476, 15.2, Vis.
AM HER, 2457539.40, 15.1, Vis.
AM HER, 2457539.354, 15.1, Vis.
AM HER, 2457538.4681, 15.0, Vis.
AM HER, 2457535.502, 15.1, Vis.
AM HER, 2457535.357, 15.1, Vis.
AM HER, 2457535.300, 14.6, Vis.
AM HER, 2457532.488, 15.2, Vis.
AM HER, 2457525.490, 15.2, Vis.
AM HER, 2457523.466, 15.4, Vis.
AM HER, 2457517.3986, 15.2, Vis.
AM HER, 2457516.300, 14.8, Vis.
AM HER, 2457513.474, 15.4, Vis.
AM HER, 2457511.485, 15.4, Vis.
AM HER, 2457508.544, 15.3, Vis.
AM HER, 2457506.518, 15.4, Vis.
AM HER, 2457505.340, 15.1, Vis.
AM HER, 2457504.309, 15.0, Vis.
AM HER, 2457498.627, 14.9, Vis.
AM HER, 2457496.531, 15.0, Vis.
AM HER, 2457495.498, 15.0, Vis.
